iter	Passed	Remaining
0	1	137
1	2	131
2	3	121
3	4	107
4	5	102
5	6	100
6	7	98
7	8	99
8	10	101
9	11	101
10	12	99
11	13	99
12	14	98
13	15	96
14	16	94
15	17	92
16	18	90
17	19	89
18	20	87
19	21	86
20	22	84
21	23	83
22	24	82
23	25	81
24	26	79
25	27	78
26	28	77
27	29	75
28	30	74
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	65
36	38	65
37	39	64
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	80	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
